"age_x","age_y","credit_history","kids","household_income","outstanding_loan_amount","property_value","property_size","annual_interest_rate","monthly_payment","n","Default"
44,40,1,1,4821,30417,434248,63.09,4.92,1101,30,FALSE
40,37,0,3,10092,458538,902513,150.67,4.92,2690,294,TRUE
27,NA,0,1,2103,13399,161580,27.17,5.12,552,26,FALSE
38,37,1,1,9847,163440,285633,42.83,5.19,2404,81,FALSE
34,NA,1,2,4695,44106,312406,45.25,4.86,1187,41,FALSE
40,42,1,2,16619,340160,802487,151.27,5.27,3786,115,FALSE
32,29,0,1,9135,284740,649466,93.61,4.61,2587,144,FALSE
31,28,1,1,5172,78508,620769,78.37,5.03,947,103,FALSE
33,35,1,1,10031,300040,709390,150.39,5.05,1979,242,FALSE
40,36,0,2,10213,112531,408491,52.15,5.26,2852,44,FALSE
43,49,1,3,9106,291275,979346,123.53,5.13,2551,157,FALSE
34,33,1,3,7512,91705,273869,54.21,4.93,1445,74,FALSE
35,30,1,2,16121,453691,1631374,216.65,4.05,4484,124,FALSE
36,31,0,1,7458,167185,585999,85.71,4.61,1262,186,FALSE
37,36,1,3,7753,162398,532784,61.31,4.76,2337,82,FALSE
38,34,1,2,9381,328350,597608,105.79,5.06,2551,186,TRUE
38,32,1,3,6162,74354,399652,81.23,4.71,1024,86,FALSE
43,NA,0,0,6133,138851,445666,51.54,4.63,1079,179,FALSE
32,NA,0,0,2441,66823,168406,27.45,4.32,337,349,FALSE
34,32,1,1,10662,52309,705195,120.67,4.44,2776,20,FALSE
37,40,0,2,3744,49614,194972,29.17,5.87,437,167,FALSE
36,34,1,2,13461,301776,685625,134.41,4.28,3471,105,FALSE
36,34,1,2,8921,219900,845360,125.91,4.51,2106,133,FALSE
41,42,0,3,9215,102250,517666,93.78,4.41,2342,48,FALSE
31,27,0,2,4779,129972,300463,58.73,4.27,698,306,FALSE
28,NA,1,1,2892,197073,250377,45.35,4.41,1054,317,TRUE
30,29,0,1,6915,185174,424103,86.64,4.55,2094,108,TRUE
34,35,0,1,7561,160673,333682,40.52,4.83,1771,114,FALSE
31,31,0,2,7185,251573,416177,59.59,4.23,1624,225,TRUE
33,31,1,1,11658,238839,656624,111.01,4.1,3629,75,FALSE
32,28,0,1,7833,74773,518180,62.05,5.05,1800,46,FALSE
42,44,1,2,11413,408373,900786,143.05,5.46,3185,193,FALSE
43,44,1,2,17713,469325,995947,169.35,5.61,4722,134,FALSE
31,NA,1,1,4730,139245,222697,29.43,4.33,759,302,FALSE
38,32,1,1,6190,122090,214087,29.98,5.04,1549,96,FALSE
29,27,1,1,13736,195371,1023959,139.39,4.36,3102,72,FALSE
33,25,0,2,5350,160381,350638,47.98,5.23,1108,230,TRUE
33,31,0,2,7774,196992,257071,48.66,4.42,1676,155,FALSE
30,NA,0,2,2547,150210,239062,27.16,5.23,851,338,TRUE
32,27,1,2,8236,271299,465278,67.13,4.81,1992,198,TRUE
36,NA,1,2,4804,146243,265098,45.1,4.95,1418,135,FALSE
28,26,0,1,5508,101653,238128,33,4.24,1888,60,TRUE
34,32,1,2,9183,68496,854554,109.25,4.74,2084,36,FALSE
27,28,0,2,5765,54680,386501,63.34,4.84,1787,33,FALSE
41,43,1,2,7641,262232,712476,92.71,4.62,2198,161,FALSE
38,39,1,3,9497,112812,713453,96.53,5.14,2612,48,FALSE
29,27,1,2,8824,355683,507382,68.63,4.5,2676,185,FALSE
33,33,0,1,4813,102719,271459,26.7,4.98,1511,81,TRUE
42,38,1,2,8683,158581,805042,137.52,4.99,2372,79,FALSE
38,39,1,2,8128,196544,685400,100,5.35,2412,102,FALSE
47,NA,1,0,3613,55040,292451,39.59,5.38,1086,58,FALSE
42,43,1,3,12648,158982,772557,126.94,4.83,3194,56,FALSE
38,NA,0,2,11698,549475,936905,135.43,5.25,3318,296,FALSE
34,NA,0,0,2473,77142,310652,41.47,5.32,452,320,FALSE
37,NA,1,1,3337,9689,153563,25.77,4.78,977,11,FALSE
35,NA,0,2,5477,77436,206618,31.42,4.97,1235,73,FALSE
40,41,1,2,10085,249599,732760,144.5,4.24,3059,97,FALSE
28,24,0,2,5854,249796,526993,112.15,5.39,1731,234,FALSE
31,30,0,3,11151,110950,439742,112.61,4.81,2291,54,FALSE
37,37,1,2,8069,192670,744197,85.53,4.5,1712,147,FALSE
38,34,1,1,12202,206170,622823,117.16,4.66,2884,84,FALSE
32,NA,1,0,5916,108416,157863,31.26,4.24,1003,137,FALSE
34,NA,1,0,7482,50119,381080,51.56,5.41,1520,36,FALSE
37,36,1,2,9205,176626,547953,109.35,4.88,1657,141,FALSE
39,35,1,3,12150,231048,676533,86.04,4.63,2599,110,FALSE
41,42,1,3,11308,408333,625737,82.15,5.55,3421,175,TRUE
30,NA,0,0,4030,167515,353554,53.19,4.22,1016,247,FALSE
48,48,1,3,11056,106753,615155,118.71,4.88,2847,41,FALSE
33,33,1,2,13342,251135,938721,168.32,4.61,2748,113,FALSE
35,35,1,2,7614,141592,680911,96.46,4.5,1439,124,FALSE
40,37,0,1,10520,226756,741203,99.96,5.41,2980,94,FALSE
41,43,1,3,9454,451843,768047,93.63,4.88,2675,287,FALSE
31,NA,1,0,4348,110956,202601,28.1,5.07,858,188,FALSE
34,27,1,2,8976,49924,545764,71.23,4.59,2295,23,FALSE
33,27,1,2,6506,196175,461439,60.9,5.04,2074,121,TRUE
44,41,1,2,9855,330834,528109,81.21,5.02,2487,195,FALSE
36,NA,0,2,3172,103456,673408,75.3,4.39,612,264,FALSE
45,38,1,2,17738,266291,1068206,149.17,4.45,6093,48,FALSE
27,NA,1,2,4932,62127,240333,33.04,5.01,1588,43,TRUE
27,28,1,1,13251,370634,933839,181.61,5.35,2366,270,FALSE
29,26,0,1,5268,43846,135211,25.24,5.48,1510,32,TRUE
30,NA,0,1,2604,24666,555818,79.71,4.7,439,64,FALSE
34,NA,0,1,5504,135192,535706,63.54,5.24,950,223,FALSE
39,38,1,2,12764,523277,1021383,127.18,4.49,2870,307,FALSE
33,NA,1,0,5822,88694,249864,32.37,5.55,1378,77,FALSE
39,35,1,1,11443,379638,631148,91.79,5.05,2060,356,FALSE
28,23,0,2,7128,180121,511808,70.4,5.2,1461,177,FALSE
40,40,1,2,13555,541813,767811,144.87,4.47,2881,325,FALSE
35,NA,1,1,4745,93435,228885,40.12,4.59,657,206,FALSE
38,41,1,2,16188,221002,916332,121.95,4.73,2877,92,FALSE
34,32,1,2,4420,161570,323831,44.33,4.95,1102,226,FALSE
47,46,1,3,12586,174180,730449,140.04,4.65,3857,50,FALSE
38,35,1,2,5417,54719,405448,58.88,5.03,1208,51,FALSE
44,44,1,2,9656,323854,628183,90.36,4.51,1724,327,FALSE
31,NA,0,1,5413,256854,306789,41.13,5.02,1823,214,TRUE
36,NA,1,1,6867,84116,404573,59.4,4.28,1484,64,FALSE
26,22,0,1,5597,79031,221749,39.89,5.21,1771,50,TRUE
27,NA,0,1,2242,81259,236970,32.01,4.31,855,117,TRUE
37,NA,0,1,3797,262726,348717,36.8,4.59,1813,212,TRUE
32,28,1,1,8851,175651,302668,46.55,5.47,2739,77,FALSE
31,NA,0,2,2591,54717,351128,45.08,5.43,360,258,FALSE
23,NA,1,1,2414,110714,335541,44.29,4.65,628,298,TRUE
31,29,1,2,15235,349567,1207024,192.6,5.18,3652,124,FALSE
34,30,1,1,8078,453405,781327,90.4,4.56,2797,253,FALSE
34,33,0,0,6136,117424,248719,34.16,5.42,1217,128,FALSE
36,NA,0,0,4158,67470,337196,63.55,4.61,992,79,FALSE
37,32,0,3,7639,180194,417742,67.28,4.57,1758,131,FALSE
34,NA,1,0,6541,241634,637546,86.4,4.64,1478,260,FALSE
38,NA,1,1,5241,86783,272251,56.66,4.97,1568,63,FALSE
31,30,1,1,10812,90113,794354,101.45,4.77,2662,37,FALSE
33,31,1,1,8286,270648,499020,59.72,5.28,1607,308,FALSE
32,NA,1,1,7698,398510,625260,73.56,4.75,2173,328,FALSE
34,36,1,2,9852,331342,820566,133.97,4.24,2218,213,FALSE
35,27,0,2,3828,68129,346778,51.2,5.51,409,316,FALSE
41,NA,0,2,2992,43571,143529,29.22,4.34,666,75,FALSE
37,39,1,3,13420,288749,491658,111.26,4.65,3113,116,FALSE
33,31,0,3,7339,167698,404994,54.53,4.34,1774,116,FALSE
32,NA,0,2,3890,105212,409396,69.72,4.98,577,342,FALSE
45,46,1,2,5253,54128,182513,33.1,4.38,1315,45,FALSE
32,36,0,2,6222,232392,344527,59.71,4.87,1451,260,TRUE
32,30,1,1,4506,61110,294496,36.21,4.11,977,71,FALSE
37,33,0,2,6230,113165,303646,50.76,4.64,1017,146,FALSE
34,NA,0,0,4014,37025,222380,39.45,4.87,985,41,FALSE
33,30,1,3,12655,203811,478115,82.32,4.45,2468,99,FALSE
40,39,1,2,10212,110300,520735,93.86,5.36,3144,39,FALSE
36,31,1,2,8904,101643,236006,31.7,4.92,2655,42,TRUE
30,NA,1,0,4449,46116,175175,28.01,4.98,559,102,FALSE
38,33,0,1,5895,96468,433984,60.91,4.68,1436,79,FALSE
33,23,1,1,6599,167379,277952,41.02,4.42,1441,152,FALSE
35,NA,1,1,2572,71229,231425,35.78,4.75,444,256,FALSE
40,NA,0,0,2385,137778,325326,40.05,4.29,790,274,FALSE
44,42,1,2,20197,756718,1186251,182.08,4.6,4975,229,FALSE
35,40,0,2,11011,323782,608669,107.16,5.25,2563,185,FALSE
30,29,1,0,8451,174298,476717,80.69,5.6,1820,128,FALSE
25,25,0,2,6598,318042,539607,71.32,4.51,1626,355,FALSE
41,42,1,2,14708,115535,1067951,170.3,4.25,3256,38,FALSE
35,NA,0,2,5290,87049,315861,48.91,4.6,1409,71,TRUE
30,25,1,0,8691,121197,388565,66.06,4.64,2139,65,FALSE
26,20,0,2,5587,66394,190300,26.35,5.8,1239,63,FALSE
35,NA,0,0,3438,71742,413263,65.4,5.44,974,90,FALSE
35,37,1,2,9435,145500,535335,96.37,4.1,2692,60,FALSE
32,30,1,2,5398,120541,314754,49.35,4.58,1041,154,FALSE
39,39,1,2,11107,272154,766892,108.98,4.2,2044,180,FALSE
46,NA,0,1,4438,32909,318795,45.85,4.35,1070,33,FALSE
34,31,1,2,13631,699541,1126734,168.32,4.47,4735,215,FALSE
35,NA,1,2,6733,139117,448281,63.46,5.23,1848,92,FALSE
35,NA,0,1,2160,85040,151664,25.89,4.35,664,173,TRUE
36,35,0,1,7087,84433,394192,59.42,4.74,1058,97,FALSE
44,NA,0,1,6660,70919,406743,41.16,5.46,1671,48,FALSE
37,33,0,1,4762,132916,233781,29.88,5.36,1654,100,TRUE
37,39,1,3,8664,190243,562141,106.81,4.91,2203,107,TRUE
27,23,1,1,11969,367572,431114,54.53,4.42,3060,159,FALSE
34,29,1,2,11874,395029,691974,134.39,4.51,2594,227,FALSE
40,40,1,3,9974,231841,482085,51.96,4.87,2219,137,FALSE
34,27,1,1,9727,251244,537675,110.61,4.42,1865,187,FALSE
32,31,0,1,5113,227260,658433,83.23,5.58,1365,321,FALSE
35,NA,0,3,4613,108476,473104,60.74,5.52,1103,132,TRUE
36,NA,0,2,2433,101830,168070,26.93,5.73,711,242,TRUE
34,NA,0,0,5427,64148,281779,54.23,4.88,1030,72,FALSE
38,36,1,1,19686,461138,1497543,203.36,4.45,5397,103,FALSE
46,NA,0,1,4629,182292,390554,44.85,4.9,1259,220,FALSE
30,28,0,2,5484,213713,361052,67.21,4.34,2044,132,TRUE
38,35,0,2,5988,219152,541348,66.22,4.49,1623,189,FALSE
26,24,1,1,9626,152978,413500,66.16,4.44,2460,71,FALSE
34,31,1,2,13093,246283,988893,127.83,5.42,3188,96,FALSE
43,38,1,3,17330,378167,568883,111.11,4.74,4763,96,FALSE
43,46,1,3,19329,638478,1146087,225.83,5.37,4937,194,FALSE
30,26,0,1,3957,191405,1030996,122.84,4.74,1450,187,TRUE
32,31,1,0,7654,130899,560233,89.58,5.17,1336,128,FALSE
36,NA,0,1,4933,155399,664389,95.83,5.65,1292,178,FALSE
39,39,1,2,9854,300557,591699,103.48,4.67,1978,231,FALSE
32,NA,1,0,5376,141307,429917,71.32,5.06,910,253,FALSE
32,31,1,1,10204,475860,1221682,161.47,4.37,2681,286,FALSE
42,40,1,3,4712,96903,211134,32.19,5.52,1306,91,TRUE
44,NA,1,1,6592,46595,271269,41.22,4.94,1627,31,FALSE
35,35,1,1,6674,57271,676795,83.71,4.74,786,87,FALSE
36,36,1,2,5074,132844,183606,28.01,4.42,799,258,FALSE
36,33,1,1,8356,190724,307504,48.01,5.13,2284,104,FALSE
39,44,1,1,13307,137021,872600,128.74,5.01,3099,49,FALSE
35,37,1,1,9042,317823,603597,68.08,5,2903,147,TRUE
44,46,1,2,10266,255111,613845,92.6,4.26,1928,180,FALSE
38,36,1,3,6998,142913,759470,120.57,5.06,1471,126,FALSE
34,31,1,2,6267,132457,438210,63.17,4.84,1384,122,FALSE
39,39,1,2,11926,175011,434876,62.33,4.96,3457,57,FALSE
39,40,1,1,24419,239698,1298285,207.03,4.64,5972,44,FALSE
29,27,0,2,6320,145982,278858,38.31,5.26,1967,90,TRUE
26,NA,0,1,5638,242113,324530,45.87,4.8,1434,282,TRUE
37,NA,1,2,5551,73444,191501,36.82,4.29,1275,65,FALSE
32,33,1,1,7232,228499,677969,94.53,4.58,1363,269,FALSE
32,27,0,2,4451,87551,373351,56.44,4.81,1254,83,TRUE
33,34,1,3,11370,199429,595713,94.05,4.94,3080,76,FALSE
26,24,0,2,2422,71239,397893,53.01,4.7,553,180,FALSE
41,41,0,2,12261,172404,473753,97.18,4.33,3980,48,FALSE
43,40,1,2,10698,477436,992546,119.44,4.44,2497,333,FALSE
46,NA,1,2,2953,99854,146769,25.34,4.97,1296,93,TRUE
39,NA,1,2,5286,61738,235805,29.62,4.22,977,72,FALSE
38,39,1,3,7749,81279,807430,86.31,4.33,2245,39,FALSE
32,NA,1,2,2761,50597,234438,30.75,5.24,341,240,FALSE
38,38,1,3,14259,323096,578702,117.36,5.14,2986,146,FALSE
46,44,1,3,14178,337948,608445,135.24,4.69,2732,170,FALSE
35,30,1,1,7916,494953,736133,110.68,5.55,2836,357,TRUE
34,29,1,2,5285,52907,210967,43.86,4.4,1277,46,FALSE
43,45,1,3,15014,246513,820789,128.61,4.56,4148,68,FALSE
38,34,1,2,11849,380555,707833,141.51,4.87,3554,141,TRUE
31,NA,1,0,4612,141289,409264,76.67,4.6,986,209,FALSE
41,NA,1,1,4692,184262,294941,47.07,4.82,1260,221,TRUE
34,37,1,3,15207,372506,718492,140.55,4.46,3475,137,FALSE
37,36,1,3,14701,316188,738389,118.01,5.18,3668,109,FALSE
33,NA,1,1,2657,74486,180208,25.7,5.29,677,151,TRUE
35,NA,0,1,3348,37316,199910,27.4,4.7,790,53,FALSE
34,NA,0,1,7848,312064,789952,97.73,4.65,1700,322,FALSE
37,36,1,2,9696,302293,544599,95.06,5.17,2210,208,FALSE
43,39,1,3,10521,199247,608712,70.12,4.99,2605,93,FALSE
32,NA,1,0,6036,54719,249079,26.15,4.34,1430,42,FALSE
31,32,1,2,7771,113226,470676,64.6,5.14,2184,59,FALSE
35,NA,1,0,3798,52602,201278,30.4,4.56,804,76,FALSE
42,NA,0,1,4130,83089,196931,25.44,4.34,1107,88,FALSE
35,NA,1,1,5710,78581,305585,48.23,5.24,1630,55,FALSE
32,31,1,2,19288,536061,1034155,173.72,4.41,4973,138,FALSE
43,42,1,3,6347,214211,1083149,112.29,4.37,1631,179,FALSE
27,NA,1,1,3758,41004,241772,47.01,4.41,803,57,FALSE
40,38,1,2,6230,188265,401762,63.2,4.55,1412,187,FALSE
34,NA,0,1,4169,77368,289258,33.58,4.72,1401,63,TRUE
37,30,1,3,5433,205271,533447,77.3,4.81,1340,238,TRUE
35,33,1,2,7688,182773,305608,56.24,5.44,1774,140,FALSE
34,32,1,3,14838,143053,390264,69,4.59,3303,48,FALSE
39,37,1,1,6956,330663,954654,129.55,4.6,1797,320,FALSE
34,NA,0,2,2730,60599,221646,25.36,5.11,387,259,FALSE
29,30,1,1,6121,44624,478172,85.51,5.27,2058,23,FALSE
33,31,1,2,6911,89193,403780,65.21,4.96,1227,87,FALSE
32,NA,1,0,5550,39134,256026,48.08,5.06,1800,23,FALSE
39,NA,0,2,5251,166888,354873,49.24,4.51,1134,215,FALSE
33,28,1,1,6400,365385,603624,86.99,4.56,2579,204,TRUE
35,NA,0,1,3605,30018,126509,26.02,4.36,648,51,FALSE
30,29,1,2,7889,207086,580452,78.45,4.85,1217,289,FALSE
40,40,0,2,8651,151561,316162,47.09,4.52,1889,96,TRUE
37,32,1,3,8121,88394,264827,39.06,5.14,2296,43,TRUE
32,31,1,2,8790,416077,600961,81.73,4.8,2262,334,FALSE
39,36,0,1,10271,125982,284220,45.05,5.56,2695,53,FALSE
32,24,1,2,7988,98023,568932,81.16,4.56,1601,70,FALSE
35,NA,0,1,2374,65293,225294,36.55,4.82,1353,54,TRUE
38,NA,0,1,3017,172541,384841,42.36,5.48,1783,129,TRUE
36,31,1,2,14303,270551,496310,88.28,4.61,2790,122,FALSE
32,27,0,1,5764,373964,482691,61.82,4.83,2386,249,TRUE
43,36,1,3,11784,269198,1114498,153.83,4.45,3509,91,FALSE
38,35,1,3,8423,230639,834399,118.59,4.32,1828,169,FALSE
37,39,1,2,10533,230188,570805,86.96,4.84,2475,117,TRUE
33,28,1,1,8151,214998,428762,76.51,4.13,1449,209,FALSE
33,30,1,1,9436,292240,493196,93.55,4.67,1908,234,FALSE
37,31,1,2,10579,107445,810739,107,4.82,2337,51,FALSE
32,33,1,1,11114,104191,763773,139.4,4.51,2913,39,FALSE
35,35,1,2,10068,230226,368520,54.37,4.61,3495,77,FALSE
31,32,1,1,8658,87643,396077,67.59,5.49,2727,35,FALSE
48,48,1,1,14750,163630,1278637,162.78,4.53,3122,59,FALSE
43,42,1,2,16280,136694,854587,128.49,4.98,3476,44,FALSE
31,24,1,1,8717,184082,353976,54.88,4.77,2504,88,FALSE
29,29,1,3,8488,34562,523060,102.36,4.22,2178,17,FALSE
41,41,1,1,10654,265151,522156,71.09,4.91,2409,147,FALSE
28,NA,0,1,3461,83807,376380,45.44,4.62,993,103,FALSE
36,37,1,1,7451,355249,578313,90.73,4.55,2229,245,FALSE
40,NA,1,2,9171,48797,354322,52.57,4.65,2473,21,FALSE
34,NA,1,2,5853,389655,506686,83.46,5.07,2156,343,TRUE
29,31,1,2,8711,68941,337874,41.32,4.95,1870,41,FALSE
40,38,1,2,12294,231804,880964,129.84,5.35,3538,78,FALSE
37,36,0,2,6018,140410,481615,70.93,4.74,1688,102,TRUE
34,30,1,2,12016,206418,802986,124.92,4.46,3712,63,FALSE
30,27,1,2,9479,308617,733286,87.4,4.67,2875,140,FALSE
37,NA,1,0,2938,91051,264455,35.99,4.86,769,162,FALSE
44,42,1,3,6934,256432,485809,72.25,4.95,1577,270,FALSE
41,43,0,2,8444,109206,795221,88.25,4.48,1849,67,FALSE
28,27,0,1,4387,37280,194401,32.09,4.41,1008,40,FALSE
35,NA,1,2,6068,40287,410441,61.6,4.5,1349,32,FALSE
37,28,1,1,12070,103719,476349,94.42,4.93,2986,38,FALSE
36,NA,0,2,2051,48032,181665,26.12,5.07,659,88,TRUE
29,28,0,1,7773,27165,671477,104.38,5.68,3361,9,FALSE
33,29,1,2,5611,181323,435931,58.07,4.45,1394,178,FALSE
30,28,1,1,8338,271259,521697,66.85,4.71,2484,143,TRUE
40,39,0,2,6355,110961,425911,73.03,4.5,1628,79,FALSE
36,37,1,3,14389,388440,762235,155.59,5.15,4536,107,FALSE
39,36,1,2,12915,351428,960089,156.29,4.77,4294,100,FALSE
35,36,1,3,9318,215189,577114,70.2,4.83,2484,107,FALSE
27,21,1,1,13349,72941,869861,129.83,4.83,2540,31,FALSE
37,30,0,2,6312,79375,277701,38.91,4.85,1717,52,FALSE
30,NA,1,1,5143,157912,302802,52.01,4.68,818,360,FALSE
39,NA,1,1,9589,272310,443480,82.05,4.94,2191,175,FALSE
34,NA,0,0,5316,135412,324599,44.6,4.67,838,256,FALSE
37,NA,1,1,6935,145759,1025176,187.11,4.14,1718,101,FALSE
31,34,0,1,4429,36364,141484,27.51,4.49,1040,38,FALSE
46,NA,1,1,9592,250183,564313,122.65,4.15,2115,153,FALSE
24,21,1,1,4679,102020,241461,37.9,4.68,688,222,FALSE
37,NA,1,1,7869,115659,559635,99.42,5.27,1398,104,FALSE
31,24,1,1,8000,57782,567282,86.82,4.32,1418,45,FALSE
41,NA,1,0,4028,220429,415750,59.76,5.1,1372,271,FALSE
31,30,1,2,8285,51891,394783,75.6,4.12,2479,22,FALSE
38,NA,0,1,5592,73321,276528,41.74,5.36,1371,62,FALSE
42,43,1,2,11683,128790,358813,64.92,4.61,2452,59,FALSE
40,40,1,3,11485,68943,393983,78.28,5.77,3041,25,FALSE
36,NA,1,1,4741,26493,238188,34.5,5.49,1098,26,FALSE
28,26,1,3,11803,116344,828827,112.95,5.2,2655,49,FALSE
23,NA,1,0,3521,58934,141190,30.99,4.23,880,77,FALSE
35,35,1,3,10158,129475,542732,77.5,5.16,1932,80,FALSE
33,33,1,1,10694,221829,718774,130.71,4.99,2935,91,FALSE
26,22,0,1,3281,30901,241985,36.72,5.04,655,53,FALSE
26,23,1,2,5904,132379,311682,47.76,4.91,1346,127,FALSE
36,36,0,3,5792,172456,606641,88.82,4.8,2109,100,TRUE
43,36,1,3,8694,221319,653900,100.43,4.57,1313,271,FALSE
45,45,1,2,12157,224446,1005023,151.61,4.32,2880,92,FALSE
42,42,1,1,13331,333100,569619,109.29,4.86,3702,113,FALSE
32,NA,1,1,4321,47882,179521,31.83,4.2,1194,44,FALSE
32,32,0,1,3220,18201,178566,34.7,5.47,500,40,FALSE
38,39,0,3,9011,209454,437206,58.17,4.52,2787,89,TRUE
42,42,0,3,8444,206244,509449,57.63,4.64,3065,79,FALSE
34,31,1,2,5748,287487,455502,85.3,5.28,1646,334,TRUE
34,35,1,1,3734,66227,334137,33.69,4.39,550,160,FALSE
43,NA,1,2,4452,114229,211542,41.43,5.27,1161,130,TRUE
32,30,1,1,9493,316257,617230,83.84,4.42,2940,138,TRUE
31,29,1,0,5050,130864,443221,64.6,4.71,1026,178,FALSE
30,27,1,1,9024,245341,298250,54.07,5.24,1386,341,FALSE
26,25,0,2,4643,79409,214704,25.46,5.56,833,127,FALSE
27,23,0,1,7498,300535,577034,82.14,4.48,2308,179,TRUE
37,35,1,2,8913,105940,493365,81.71,4.75,1770,69,FALSE
34,29,1,1,7640,132393,439412,77.91,4.39,2291,66,TRUE
36,NA,1,0,9546,209412,573119,76.61,5.54,2271,121,FALSE
38,39,1,2,6417,274027,879358,110.14,4.33,1448,319,FALSE
27,23,1,0,7178,444213,743137,114.93,5.78,2628,351,FALSE
34,29,1,1,5534,47974,472312,73.17,4.58,1130,47,FALSE
34,NA,0,0,3203,38272,339277,51.32,5.09,1147,37,FALSE
30,NA,0,1,4150,59473,280464,45.04,5.06,2295,28,TRUE
40,39,1,2,10834,287981,424785,62.34,4.73,2422,161,FALSE
38,34,1,3,6498,47525,240614,34.3,5.35,1329,40,FALSE
41,41,1,2,14024,212714,704072,124,4.22,3797,63,FALSE
38,36,1,3,6330,147250,493411,77.41,4.79,2191,79,FALSE
30,NA,1,1,5112,63181,243666,32.72,4.38,1648,42,FALSE
33,NA,1,0,3104,106523,429419,62.01,4.56,766,199,FALSE
50,49,1,3,12254,180141,710573,130.62,5.27,2797,76,FALSE
31,NA,1,3,4410,214085,381272,57.9,5.18,1538,214,TRUE
38,NA,1,1,6909,130092,308429,53.26,5.32,1379,123,FALSE
30,NA,1,0,4366,145021,303087,34.07,4.9,1388,137,FALSE
38,39,1,1,10286,189746,613472,96.02,4.73,2577,88,FALSE
38,39,1,3,10654,115552,339391,54.67,4.28,1856,71,FALSE
31,29,1,2,7969,189860,374483,61.18,4.62,2609,86,FALSE
38,40,1,2,15279,333425,604411,99.1,5.34,4020,104,FALSE
36,34,1,3,7192,355116,551695,77.89,4.55,1838,349,FALSE
36,NA,0,1,4676,142060,350454,50.99,4.73,1275,148,TRUE
33,NA,0,1,4111,79555,242960,26.38,5.36,1074,91,FALSE
34,33,1,1,6185,117796,269652,37.74,5.24,1154,136,FALSE
30,28,1,1,9809,60345,375787,64.27,5.21,2055,32,FALSE
41,42,1,3,8318,178223,453612,65.76,4.94,1767,131,FALSE
38,34,1,2,14646,429362,582032,78.77,5.05,4121,138,FALSE
24,NA,0,0,2361,110219,279930,38.2,5,1159,122,TRUE
35,39,0,1,5001,157038,377011,72.1,5.07,2030,94,TRUE
39,37,0,2,5523,77536,421045,85.91,4.36,1412,62,FALSE
42,35,0,3,5070,149171,382837,50.68,4.45,865,276,FALSE
35,NA,1,3,10669,308770,601606,125.78,5.16,2113,231,FALSE
29,NA,0,0,3894,101420,186222,30.06,4.52,1067,118,TRUE
41,38,0,3,12096,526776,1437642,163.22,4.62,3036,287,FALSE
30,27,1,1,9489,136208,540379,66.15,5.28,2410,66,FALSE
31,30,1,2,9139,118696,413585,73.02,4.66,2297,58,TRUE
33,NA,1,0,5228,105210,294271,60.45,5.07,1448,87,FALSE
34,33,1,3,9843,195237,443622,66.69,4.76,2206,110,FALSE
24,19,0,2,5271,88897,199646,30.42,4.75,1358,76,FALSE
37,39,1,2,6116,185388,381207,66.32,4.41,1661,144,FALSE
27,23,0,0,5171,177848,416500,52.39,5.55,1133,281,FALSE
40,37,1,2,17954,299823,1238093,184.79,4.32,4621,75,FALSE
34,37,0,2,6963,130639,421711,55.43,4.66,1291,129,FALSE
31,NA,1,1,4180,57694,262662,43.13,5.04,796,87,FALSE
40,39,1,3,9353,331369,932112,90.92,4.69,1808,323,FALSE
34,34,1,1,12602,233377,997846,136.71,5.09,2233,139,FALSE
42,42,1,2,8935,128319,568766,101.15,5.06,2171,69,FALSE
36,29,1,3,6181,83448,264990,37.63,4.39,1815,51,FALSE
42,41,1,2,14856,269821,977173,182.82,4.18,3291,97,FALSE
31,NA,0,0,3522,28461,231489,32.12,5.43,713,45,FALSE
38,37,1,3,8897,77188,459308,69.34,4.67,1849,46,FALSE
38,35,1,2,16652,396587,1288352,184.71,5.48,4339,119,FALSE
34,36,0,2,5973,79858,313866,44.52,4.74,1033,93,FALSE
24,25,0,2,4362,141197,269434,44.09,4.82,855,272,FALSE
30,NA,0,1,2073,79756,164274,31.35,4.47,571,198,TRUE
37,32,0,2,7505,113558,299284,45.1,4.55,1802,73,FALSE
40,40,0,3,4400,24518,159550,29.94,5.36,631,43,FALSE
30,28,1,2,9775,288173,346938,57.44,4.57,2160,187,FALSE
33,NA,0,0,5532,35736,226194,36.99,4.67,640,64,FALSE
41,41,1,3,10212,371377,487681,82.49,4.68,3505,137,TRUE
37,32,0,1,6434,119416,275135,34.96,4.82,1241,122,FALSE
32,30,1,2,11083,142501,1005360,147.63,5.45,2560,65,FALSE
34,35,1,2,11193,379535,820161,161.64,4.61,2807,192,FALSE
39,32,1,2,9616,140659,647784,90.46,5.21,2404,68,FALSE
35,31,1,2,10001,238221,658340,89.57,4.75,2376,128,FALSE
37,36,0,3,5716,146882,419419,71.1,5.58,1151,194,FALSE
39,38,1,2,9399,99373,705276,102.96,4.76,2754,40,FALSE
41,NA,0,1,5432,65614,373560,62.26,5.24,1043,74,FALSE
39,39,1,2,12013,286517,915958,105.21,5.21,2287,182,FALSE
35,36,1,3,14407,108878,461719,71.54,5.71,3285,37,FALSE
40,35,1,1,8825,77686,223452,34.98,4.91,2461,34,FALSE
30,NA,0,1,2375,174767,248094,35.94,5.56,1011,350,TRUE
43,39,0,2,5237,112818,260116,38.32,4.09,1215,112,FALSE
39,38,1,3,12979,179881,959139,142.2,4.96,3083,67,FALSE
